;;;;;;;;;;;;Klasyfikacja;
;;;;;;;;;;;;Status Bezpieczeństwa;Klasa jakości
ID rekordu;Data i czas;ID pieca;Lokalizacja;ID operatora;Rodzaj produktu;Temperatura [°C];Wilgotność [%];Temperatura otoczenia [°C];Czas pieczenia [min];Zużycie energii [kWh];Numer partii;Jeśli temperatura spadnie poniżej 160°C lub wzrośnie powyżej 200°C, partia jest odpadem. W przeciwnym razie przechodzi dalej;Jeśli produkt jest bezpieczny, sprawdzamy: Temp 170-185°C ORAZ Wilgotność 30-40%, czas pieczenia < 50 min. Jeśli tak -> Premium. Jeśli nie -> Standard
17;19.10.2025 19:22;P-03;Linia 2;OP-008;Bagietka;187,67;29,25;22,4;37,2;22,32;PARTIA-4598;OK;STANDARD
34;6.09.2025 22:02;P-08;Piec główny;OP-001;Bagietka;184,42;31,04;25,7;43,9;21,51;PARTIA-6038;OK;PREMIUM
64;2.10.2025 02:12;P-07;Linia 1;OP-011;Bagietka;178,08;31,5;23,6;47,1;19,66;PARTIA-4346;OK;PREMIUM
69;25.09.2025 21:05;P-02;Piec rezerwowy;OP-015;Bagietka;250;42,91;26,8;41,1;17,99;PARTIA-5669;ODPAD KRYTYCZNY;---
76;16.10.2025 10:33;P-05;Piec główny;OP-001;Bagietka;204,34;36,86;23,7;39;20,26;PARTIA-3143;ODPAD KRYTYCZNY;---
80;17.10.2025 01:23;P-07;Piec główny;OP-003;Bagietka;180,96;27,61;23,2;56,4;21,02;PARTIA-6974;OK;STANDARD
85;22.08.2025 18:07;P-07;Piec rezerwowy;OP-013;Bagietka;197,82;37,95;24,5;47,2;21,33;PARTIA-3608;OK;STANDARD
87;24.08.2025 22:53;P-04;Linia 2;OP-004;Bagietka;190,71;50;23,5;53,5;13,04;PARTIA-6000;OK;STANDARD
91;23.08.2025 20:40;P-06;Piec główny;OP-001;Bagietka;205,7;29,46;19,8;58,9;12,02;PARTIA-3925;ODPAD KRYTYCZNY;---
94;4.09.2025 23:01;P-02;Piec rezerwowy;OP-007;Bagietka;178,7;33,8;10;41,3;22,13;PARTIA-1727;OK;PREMIUM
95;30.09.2025 18:04;P-07;Piec rezerwowy;OP-001;Bagietka;300;30,31;21,5;28,3;25,29;PARTIA-8066;ODPAD KRYTYCZNY;---
